No,A カテゴリ,B カテゴリ,機種コード,Cカテゴリ　[中古機械情報百貨店],,,,
,,,'13-01-04,（1000T～・不明）射出成形機,,,,
,,押出機・ペレタイザー,'13-02-00,,,,,
,,真空・中空成形機,'13-03-00,,,,,
,,成形機附帯,'13-04-01,粉砕機,,,,
,,Accessory ｆor Molding Machine,'13-04-02,乾燥機,,,,
,,,'13-04-03,金型温調器,,,,
,,,'13-04-04,取出し機,,,,
,,,'13-04-99,その他成形機附帯,,,,
,,印刷・ラミネート機械,'13-06-00,,,,,
,,その他プラスチック機械,'13-99-00,,,,,
15,化学機械,分離機,'15-01-01,遠心分離機,,,,
,Chemical Processing Machinery,Separator,'15-01-02,フィルタープレス,,,,
,,,'15-01-03,スクリュープレス,,,,
,,,'15-01-04,振動ふるい・スクリーン,,,,
,,,'15-01-05,脱水(油）機・濾過機,,,,
,,,'15-01-99,その他分離機,,,,
,,破砕・粉砕・製粉機,'15-02-00,,,,,
,,熱交換器,'15-03-00,,,,,
,,乾燥器,'15-04-00,,,,,
,,混合機 ,'15-05-01,ミキサー,,,,
,,Mixer / Kneader,'15-05-02,ニーダー,,,,
,,,'15-05-99,その他混合機,,,,
,,各種タンク,'15-06-01,反応缶,,,,
,,Tank,'15-06-02,SUSタンク,,,,
,,,'15-06-03,樹脂タンク,,,,
,,,'15-06-99,その他タンク,,,,
,,各種炉,'15-07-01,焼成炉,,,,
,,Furnace,'15-07-02,電気炉,,,,
,,,'15-07-03,トンネル炉,,,,
,,,'15-07-99,その他炉,,,,
,,ホッパー・コンベヤー・スクリーン,'15-08-00,,,,,
,,ゴム成型加工機,'15-09-00,,,,,
,,造粒機,'15-10-00,,,,,
,,温調器・恒温器,'15-11-00,,,,,
,,医薬生産機器,'15-12-01,カプセル充填機,,,,
,,,'15-12-02,打錠剤機,,,,
,,,'15-12-03,造粒機 (医薬用),,,,
,,,'15-12-04,混合機 (医薬用),,,,
,,,'15-12-05,コーティング装置,,,,
,,,'15-12-06,秤/検査機,,,,
,,,'15-12-99,その他医薬生産機器,,,,
,,その他化学機械,'15-99-01,計量・包装・充填機,,,,
,,Other Chemical Processing Machinery,'15-99-02,水処理装置・チラー,,,,
,,,'15-99-03,メッキ装置,,,,
,,,'15-99-99,その他化学機械,,,,
17,建設機械,油圧ショベル,'17-01-01,（～0.2m3）ミニショベル,,,,
,Construction Machinery,Excavator,'17-01-02,（～m3）油圧ショベル,,,,
,,ホイルローダー,'17-02-00,,,,,
,,ブルドーザー,'17-03-00,,,,,
,,舗装・道路機械,'17-04-01,フィニッシャー,,,,
,,Road Construction Machine,'17-04-02,ロードローラー,,,,
,,,'17-04-03,道路スイーパー,,,,
,,,'17-04-04,グレーダー,,,,
,,,'17-04-05,ロードスタビライザー,,,,
,,,'17-04-06,バイブレーター（振動ローラー、ランマー）,,,,
